exclaiming_end, questioning_end, uppercase_word_count, people_tagged, #_of_exclamations, #_of_questions, punctuation_pairs, label
0, 0, 0.0, 0, 0, 0, 0, 0
1, 0, 0.0, 0, 1, 0, 0, 0
0, 0, 0.09259259259259259, 0, 0, 0, 0, 1
0, 0, 0.022222222222222223, 0, 0, 0, 0, 1
0, 0, 0.08333333333333333, 0, 1, 0, 0, 1
0, 0, 0.015151515151515152, 1, 0, 0, 0, 1
0, 0, 0.014084507042253521, 1, 0, 0, 0, 1
0, 0, 0.009433962264150943, 0, 0, 1, 0, 1
0, 0, 0.015151515151515152, 0, 0, 0, 0, 1
0, 0, 0.011764705882352941, 1, 0, 0, 0, 1
0, 0, 0.0851063829787234, 0, 0, 0, 0, 1
0, 0, 0.015151515151515152, 0, 0, 0, 0, 1
0, 0, 0.12698412698412698, 0, 3, 0, 2, 1
0, 0, 0.0425531914893617, 0, 0, 0, 0, 1
0, 0, 0.010416666666666666, 0, 1, 0, 0, 1
0, 0, 0.016666666666666666, 0, 0, 1, 0, 1
0, 0, 0.11475409836065574, 0, 0, 0, 0, 1
0, 0, 0.0847457627118644, 0, 0, 0, 0, 1
0, 0, 0.0273972602739726, 0, 0, 1, 0, 1
0, 0, 0.016129032258064516, 0, 0, 0, 0, 1
0, 0, 0.047619047619047616, 0, 0, 0, 0, 1
0, 0, 0.013888888888888888, 1, 0, 0, 0, 1
0, 0, 0.019230769230769232, 0, 0, 1, 0, 1
0, 0, 0.021739130434782608, 0, 0, 0, 0, 1
0, 0, 0.009615384615384616, 1, 0, 0, 0, 1
0, 0, 0.0196078431372549, 0, 0, 0, 0, 1
0, 0, 0.0125, 0, 0, 0, 0, 1
0, 0, 0.03636363636363636, 0, 0, 0, 0, 1
0, 0, 0.023255813953488372, 0, 0, 0, 0, 1
0, 0, 0.0196078431372549, 0, 0, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 0, 0, 1
0, 0, 0.07446808510638298, 1, 1, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 0, 0, 1
0, 0, 0.02, 0, 0, 0, 0, 1
0, 0, 0.01694915254237288, 0, 0, 0, 0, 1
0, 0, 0.02127659574468085, 0, 0, 0, 0, 1
0, 0, 0.10344827586206896, 0, 0, 0, 0, 1
0, 0, 0.041666666666666664, 1, 0, 0, 0, 1
0, 0, 0.01282051282051282, 1, 0, 0, 0, 1
0, 0, 0.01, 1, 0, 1, 0, 1
0, 0, 0.010526315789473684, 1, 0, 0, 0, 1
0, 0, 0.01020408163265306, 0, 1, 0, 0, 1
0, 0, 0.01098901098901099, 0, 0, 1, 0, 1
0, 0, 0.02564102564102564, 0, 0, 2, 0, 1
0, 0, 0.037037037037037035, 0, 0, 2, 0, 1
0, 0, 0.012658227848101266, 0, 0, 1, 0, 1
0, 0, 0.01639344262295082, 0, 0, 0, 0, 1
0, 0, 0.019230769230769232, 1, 0, 0, 0, 1
0, 0, 0.018867924528301886, 1, 0, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 1, 0, 1
0, 0, 0.01639344262295082, 0, 0, 0, 0, 1
0, 0, 0.01, 1, 0, 0, 0, 1
0, 0, 0.012658227848101266, 1, 0, 0, 0, 1
0, 0, 0.02702702702702703, 0, 0, 1, 0, 1
0, 0, 0.02040816326530612, 0, 0, 0, 0, 1
0, 0, 0.012195121951219513, 0, 0, 1, 0, 1
0, 0, 0.014492753623188406, 0, 0, 0, 0, 1
0, 0, 0.0196078431372549, 1, 0, 0, 0, 1
0, 0, 0.011111111111111112, 0, 0, 0, 0, 1
0, 0, 0.012195121951219513, 0, 0, 0, 0, 1
0, 0, 0.018518518518518517, 0, 0, 0, 0, 1
0, 0, 0.017241379310344827, 0, 0, 0, 0, 1
0, 0, 0.0392156862745098, 0, 1, 1, 1, 1
0, 0, 0.008849557522123894, 0, 0, 0, 0, 1
0, 0, 0.017543859649122806, 0, 0, 0, 0, 1
0, 0, 0.06382978723404255, 0, 0, 1, 0, 1
0, 0, 0.008695652173913044, 0, 0, 0, 0, 1
0, 0, 0.014705882352941176, 0, 0, 0, 0, 1
0, 0, 0.019417475728155338, 0, 0, 0, 0, 1
0, 0, 0.014925373134328358, 0, 0, 0, 0, 1
0, 0, 0.02702702702702703, 0, 0, 1, 0, 1
0, 0, 0.013513513513513514, 0, 0, 0, 0, 1
0, 0, 0.014705882352941176, 0, 0, 0, 0, 1
0, 0, 0.01639344262295082, 0, 0, 0, 0, 1
0, 0, 0.07865168539325842, 1, 2, 0, 0, 1
0, 0, 0.014705882352941176, 0, 0, 0, 0, 1
0, 0, 0.010526315789473684, 1, 0, 0, 0, 1
0, 0, 0.017857142857142856, 0, 0, 1, 0, 1
0, 0, 0.012987012987012988, 1, 0, 0, 0, 1
