exclaiming_end, questioning_end, uppercase_word_count, people_tagged, #_of_exclamations, #_of_questions, punctuation_pairs, label
0, 0, 0.0136986301369863, 0, 0, 0, 0, 1
0, 0, 0.024390243902439025, 0, 0, 0, 0, 1
0, 0, 0.0125, 0, 0, 0, 0, 1
0, 0, 0.016129032258064516, 0, 0, 1, 0, 1
0, 0, 0.028985507246376812, 0, 0, 0, 0, 1
0, 0, 0.02531645569620253, 0, 0, 0, 0, 1
0, 0, 0.01818181818181818, 0, 0, 1, 0, 1
0, 0, 0.014925373134328358, 0, 0, 0, 0, 1
0, 0, 0.017241379310344827, 0, 0, 0, 0, 1
0, 0, 0.0125, 0, 0, 0, 0, 1
0, 0, 0.029850746268656716, 0, 0, 0, 0, 1
0, 0, 0.012048192771084338, 0, 0, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 1, 0, 1
0, 0, 0.013157894736842105, 0, 0, 0, 0, 1
0, 0, 0.02127659574468085, 0, 0, 0, 0, 1
0, 0, 0.01818181818181818, 0, 0, 0, 0, 1
0, 0, 0.017857142857142856, 1, 0, 0, 0, 1
0, 0, 0.017857142857142856, 0, 0, 0, 0, 1
0, 0, 0.015384615384615385, 0, 0, 0, 0, 1
0, 0, 0.0125, 0, 0, 0, 0, 1
0, 0, 0.028169014084507043, 0, 0, 0, 0, 1
0, 0, 0.015625, 0, 0, 0, 0, 1
0, 0, 0.009708737864077669, 0, 0, 1, 0, 1
0, 0, 0.012195121951219513, 0, 0, 0, 0, 1
0, 0, 0.02127659574468085, 0, 0, 0, 0, 1
0, 0, 0.02, 0, 0, 0, 0, 1
0, 0, 0.009174311926605505, 1, 0, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 1, 0, 1
0, 0, 0.009259259259259259, 1, 0, 0, 0, 1
0, 0, 0.017543859649122806, 0, 0, 1, 0, 1
0, 0, 0.023255813953488372, 0, 0, 0, 0, 1
0, 0, 0.015625, 0, 0, 0, 0, 1
0, 0, 0.008928571428571428, 1, 0, 0, 0, 1
0, 0, 0.03125, 0, 0, 0, 0, 1
0, 0, 0.02127659574468085, 0, 0, 0, 0, 1
0, 0, 0.01694915254237288, 0, 0, 0, 0, 1
0, 0, 0.012658227848101266, 0, 0, 0, 0, 1
0, 0, 0.015384615384615385, 0, 0, 0, 0, 1
0, 0, 0.012658227848101266, 0, 0, 0, 0, 1
0, 0, 0.014492753623188406, 0, 0, 0, 0, 1
0, 0, 0.02040816326530612, 0, 0, 0, 0, 1
0, 0, 0.01639344262295082, 0, 0, 0, 0, 1
0, 0, 0.022727272727272728, 0, 0, 0, 0, 1
0, 0, 0.022222222222222223, 0, 0, 0, 0, 1
0, 0, 0.01818181818181818, 0, 0, 0, 0, 1
0, 0, 0.022222222222222223, 0, 0, 0, 0, 1
0, 0, 0.01818181818181818, 0, 0, 0, 0, 1
0, 0, 0.0136986301369863, 0, 0, 0, 0, 1
0, 0, 0.016129032258064516, 0, 0, 1, 0, 1
0, 0, 0.016666666666666666, 0, 0, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 0, 0, 1
0, 0, 0.021739130434782608, 0, 0, 0, 0, 1
0, 0, 0.03571428571428571, 0, 0, 0, 0, 1
0, 0, 0.020833333333333332, 0, 0, 0, 0, 1
0, 0, 0.022222222222222223, 0, 0, 0, 0, 1
0, 0, 0.015384615384615385, 0, 0, 1, 0, 1
0, 0, 0.014285714285714285, 0, 0, 0, 0, 1
0, 0, 0.023255813953488372, 0, 0, 0, 0, 1
0, 0, 0.012048192771084338, 1, 0, 0, 0, 1
0, 0, 0.022988505747126436, 1, 0, 0, 0, 1
0, 0, 0.013157894736842105, 0, 0, 0, 0, 1
0, 0, 0.037037037037037035, 1, 0, 0, 0, 1
0, 0, 0.023809523809523808, 0, 0, 1, 0, 1
0, 0, 0.0196078431372549, 0, 0, 0, 0, 1
0, 0, 0.0196078431372549, 0, 0, 0, 0, 1
0, 0, 0.016666666666666666, 0, 0, 0, 0, 1
0, 0, 0.02857142857142857, 0, 0, 0, 0, 1
0, 0, 0.02, 0, 0, 0, 0, 1
0, 0, 0.01639344262295082, 0, 0, 0, 0, 1
0, 0, 0.017699115044247787, 0, 0, 0, 0, 1
0, 0, 0.021739130434782608, 0, 0, 0, 0, 1
0, 0, 0.010752688172043012, 1, 0, 0, 0, 1
0, 0, 0.012048192771084338, 0, 0, 0, 0, 1
0, 0, 0.0125, 1, 0, 0, 0, 1
0, 0, 0.013333333333333334, 0, 0, 1, 0, 1
0, 0, 0.019801980198019802, 1, 0, 0, 0, 1
0, 0, 0.015873015873015872, 0, 0, 0, 0, 1
0, 0, 0.012195121951219513, 0, 0, 0, 0, 1
0, 0, 0.017543859649122806, 1, 0, 0, 0, 1
0, 0, 0.017241379310344827, 0, 0, 0, 0, 1
0, 0, 0.037037037037037035, 0, 0, 0, 0, 1
